FAZENDA;TALHÃO;DATA;SAFRA;BEM;HECTARES
ARGEMIRA;ARG 09;22/10/2021;21/22;TR-1044;7
ARGEMIRA;ARG 09;22/10/2021;21/22;TR-3474;4
ARGEMIRA;ARG 03;22/10/2021;21/22;TR-7858;50
ARGEMIRA;ARG 03;22/10/2021;21/22;TR-1740;28
ARGEMIRA;ARG 10;23/10/2021;21/22;TR-1044;23
ARGEMIRA;ARG 10;23/10/2021;21/22;TR-2333;16
ARGEMIRA;ARG 10;23/10/2021;21/22;TR-3474;16
ARGEMIRA;ARG 10;23/10/2021;21/22;TR-0311;15
;;;;;
ARGEMIRA;STI 02;14/10/2021;21/22;TR-7858;70,14
;;;;;
ARGEMIRA;ARG 03;18/10/2021;21/22;TR-7858;35
