cd_talhao;dt_hr_local_inicial;cd_equipamento;vl_velocidade;vl_rpm;vl_temperatura_motor;vl_consumo_instantaneo
401;09/11/2021 00:00;121,00;6.66;1995,00;39,00;17.5
401;09/11/2021 00:00;121,00;4.51;1277,00;39,00;18.78
401;09/11/2021 00:00;121,00;2.94;1265,00;38,00;6.47
401;09/11/2021 00:00;121,00;2.2;1369,00;37,00;15.69
*NAO_DEFINIDO*;09/11/2021 00:00;121,00;4.5;1746,00;89,00;41.3
401;09/11/2021 00:00;121,00;4.5;1746,00;89,00;41.3
401;09/11/2021 00:00;121,00;5.14;2160,00;89,00;39.36
401;09/11/2021 00:00;121,00;5.22;2081,00;89,00;44.41
401;09/11/2021 00:00;121,00;5.19;2017,00;89,00;44.19
401;09/11/2021 00:00;121,00;5.23;2157,00;89,00;44.55
401;09/11/2021 00:00;121,00;5.21;2165,00;89,00;44.4
401;09/11/2021 00:00;121,00;5.15;2132,00;89,00;44.79
401;09/11/2021 00:00;121,00;5.26;2023,00;89,00;44.47
401;09/11/2021 00:00;121,00;5.06;2065,00;89,00;45.13
401;09/11/2021 00:00;121,00;5.25;2024,00;89,00;44.47
401;09/11/2021 00:00;121,00;5.22;2078,00;89,00;44.36
401;09/11/2021 00:00;121,00;5.09;2060,00;89,00;44.94
401;09/11/2021 00:00;121,00;5.17;2049,00;89,00;44.86
401;09/11/2021 00:00;121,00;5.18;2087,00;89,00;44.81
401;09/11/2021 00:00;121,00;5.19;2013,00;89,00;44.77
401;09/11/2021 00:00;121,00;5.2;2056,00;89,00;44.74
401;09/11/2021 00:00;121,00;5.09;2070,00;89,00;45.3
401;09/11/2021 00:00;121,00;5.07;2052,00;89,00;45.24
401;09/11/2021 00:00;121,00;5.12;2017,00;89,00;44.65
401;09/11/2021 00:00;121,00;5.2;2090,00;89,00;44.29
401;09/11/2021 00:00;121,00;5.08;2087,00;89,00;44.96
401;09/11/2021 00:00;121,00;5.12;2033,00;89,00;44.75
401;09/11/2021 00:00;121,00;5.17;2086,00;89,00;44.44
401;09/11/2021 00:00;121,00;4.95;1998,00;89,00;45.51
401;09/11/2021 00:00;121,00;5.27;2068,00;89,00;44.75
401;09/11/2021 00:00;121,00;5.16;2040,00;89,00;44.56
401;09/11/2021 00:00;121,00;5.26;2093,00;89,00;44.49
401;09/11/2021 00:00;121,00;5.26;2110,00;89,00;44.4
401;09/11/2021 00:00;121,00;5.09;2009,00;89,00;45.04
401;09/11/2021 00:00;121,00;5.12;2077,00;89,00;44.98
401;09/11/2021 00:00;121,00;5.17;2015,00;89,00;44.98
401;09/11/2021 00:00;121,00;5.12;2073,00;89,00;44.94
401;09/11/2021 00:00;121,00;5.04;1965,00;89,00;45.56
401;09/11/2021 00:00;121,00;4.99;2071,00;89,00;45.39
401;09/11/2021 00:00;121,00;5.11;2032,00;89,00;45.37
401;09/11/2021 00:00;121,00;5.3;2094,00;89,00;44.25
401;09/11/2021 00:00;121,00;5.06;2055,00;89,00;45.29
401;09/11/2021 00:00;121,00;5.19;2111,00;89,00;44.41
401;09/11/2021 00:00;121,00;5.08;2015,00;89,00;45.08
401;09/11/2021 00:00;121,00;5.14;2080,00;89,00;44.71
401;09/11/2021 00:00;121,00;5.15;2078,00;89,00;45.16
401;09/11/2021 00:00;121,00;5.05;2004,00;89,00;45.23
401;09/11/2021 00:00;121,00;5.28;2045,00;89,00;44.42
401;09/11/2021 00:00;121,00;5.04;2100,00;89,00;45.38
401;09/11/2021 00:00;121,00;5.22;2008,00;89,00;44.27
401;09/11/2021 00:00;121,00;5.2;2094,00;89,00;44.57
401;09/11/2021 00:00;121,00;5.2;2084,00;89,00;44.63
401;09/11/2021 00:00;121,00;5.12;2103,00;89,00;44.86
401;09/11/2021 00:00;121,00;5.17;2035,00;89,00;44.8
401;09/11/2021 00:00;121,00;5.18;2028,00;89,00;44.51
401;09/11/2021 00:00;121,00;5.03;2050,00;89,00;45.18
401;09/11/2021 00:00;121,00;5.29;2150,00;89,00;44.29
401;09/11/2021 00:00;121,00;5.18;2037,00;89,00;44.39
401;09/11/2021 00:00;121,00;5.18;2123,00;89,00;44.6
401;09/11/2021 00:00;121,00;5.34;2088,00;89,00;43.78
401;09/11/2021 00:00;121,00;4.94;1984,00;89,00;45.51
401;09/11/2021 00:00;121,00;5.23;2005,00;89,00;44.51
401;09/11/2021 00:00;121,00;5.02;1995,00;89,00;45.6
401;09/11/2021 00:00;121,00;4.98;2030,00;89,00;45.23
401;09/11/2021 00:00;121,00;5.08;2078,00;89,00;44.9
401;09/11/2021 00:00;121,00;5.06;2009,00;89,00;45.57
401;09/11/2021 00:00;121,00;3.77;2223,00;89,00;43.97
401;09/11/2021 00:00;121,00;5.04;2022,00;89,00;45.36
401;09/11/2021 00:00;121,00;5.27;2104,00;89,00;44.32
401;09/11/2021 00:00;121,00;5.17;2044,00;89,00;44.86
401;09/11/2021 00:00;121,00;5.1;2090,00;89,00;44.85
401;09/11/2021 00:00;121,00;5.06;2088,00;89,00;45.28
401;09/11/2021 00:00;121,00;5.23;2039,00;89,00;44.49
401;09/11/2021 00:00;121,00;4.99;1997,00;89,00;45.47
401;09/11/2021 00:00;121,00;5.21;2089,00;89,00;44.42
401;09/11/2021 00:00;121,00;5.17;2022,00;89,00;44.82
401;09/11/2021 00:00;121,00;5.23;2120,00;89,00;44.6
401;09/11/2021 00:00;121,00;5.17;2085,00;89,00;44.59
401;09/11/2021 00:00;121,00;5.21;2116,00;89,00;44.25
401;09/11/2021 00:00;121,00;5.13;2109,00;89,00;44.76
401;09/11/2021 00:00;121,00;5.08;2055,00;89,00;44.92
